config_key,group,seg_vlm,selector,topk,n_face,n_edge,face_iou,face_prec,face_rec,face_f1,edge_iou,edge_prec,edge_rec,edge_f1
mvgel::CAD_LISA::cliplora_film::top5,mvgel_vnms0,CAD_LISA,cliplora_film,5.0,655,880,0.3743768962251799,0.4066710090849997,0.8613044630457085,0.49898656351886805,0.1823293255058979,0.19486109474973354,0.7667465377287059,0.2702049758179909
mvgel::CAD_LISA::cliplora_no_fusion::top1,mvgel_vnms0,CAD_LISA,cliplora_no_fusion,1.0,655,880,0.4898913057814816,0.57024478991693,0.695445305714139,0.5838106510706292,0.2832675438808074,0.32360875644351716,0.5405881974803577,0.35535647079488486
mvgel::CAD_LISA::cliplora_no_fusion::top3,mvgel_vnms0,CAD_LISA,cliplora_no_fusion,3.0,655,880,0.41334886836894347,0.46058580752413564,0.8078180872094977,0.5351818785488368,0.22525788226667887,0.24257885946139993,0.7095989027770299,0.31586356038318075
mvgel::CAD_LISA::cliplora_no_fusion::top5,mvgel_vnms0,CAD_LISA,cliplora_no_fusion,5.0,655,880,0.3681081518740739,0.39956728611448417,0.8564512717869013,0.49167743815069426,0.17444744494943623,0.18624108552549232,0.7601264208947035,0.26238941910827024
mvgel::CAD_LISA::cliplora_only_clip::top1,mvgel_vnms0,CAD_LISA,cliplora_only_clip,1.0,655,880,0.30476265311556955,0.3741857992358729,0.4639722522299338,0.3772760908757255,0.16022378520731467,0.19294266089853124,0.32723405696655816,0.20977448528177484
mvgel::CAD_LISA::cliplora_only_clip::top3,mvgel_vnms0,CAD_LISA,cliplora_only_clip,3.0,655,880,0.3065957532610363,0.34370474844714416,0.6622547501342341,0.40707893762445607,0.14178663984146192,0.15457596475525887,0.5342400402032899,0.21149529140569798
mvgel::CAD_LISA::cliplora_only_clip::top5,mvgel_vnms0,CAD_LISA,cliplora_only_clip,5.0,655,880,0.2948074926079567,0.31910228022988113,0.7573334745283709,0.40267987899011193,0.127152109071745,0.13558886163329262,0.6415704417418286,0.19983450547043485
mvgel::CAD_LISA::random::top1,mvgel_vnms0,CAD_LISA,random,1.0,655,880,0.19620004167138733,0.26179072795607317,0.2933506599556742,0.2498328043271646,0.0711622381051014,0.09698243410277012,0.1555354281734152,0.10079641679832743
mvgel::CAD_LISA::random::top3,mvgel_vnms0,CAD_LISA,random,3.0,655,880,0.23732424411231676,0.2652947386290259,0.6177484240153962,0.3315048715639566,0.08309932539977025,0.09568859566009523,0.3756280299101861,0.13305396771882463
mvgel::CAD_LISA::random::top5,mvgel_vnms0,CAD_LISA,random,5.0,655,880,0.2306483241347262,0.24350217519071865,0.7563645812051606,0.33118803291769994,0.08115241620332735,0.08878563708952586,0.5132542364935341,0.13474619691639517
mvgel::CAD_LISA::GT::top1,mvgel_vnms0,CAD_LISA,GT,1.0,655,880,0.5054962721303675,0.5830752059478993,0.7055694628767923,0.5980040292258698,0.27167694679851245,0.3115049796943105,0.5443478354118256,0.3446246209561933
mvgel::CAD_LISA::GT::top3,mvgel_vnms0,CAD_LISA,GT,3.0,655,880,0.4210029038422717,0.45981795607333786,0.8440401555818969,0.5413480161004576,0.2362061429956784,0.25405040118429145,0.7319229660405973,0.3267296650895379
mvgel::CAD_LISA::GT::top5,mvgel_vnms0,CAD_LISA,GT,5.0,655,880,0.37768083483318826,0.40236638800421576,0.8900270283676766,0.500415621809594,0.19165867564586794,0.20359477600996947,0.7814676139921983,0.2793152498221562
